Dates,03-13-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
5 Iron,0,110.5,L4.6,16.8,5099,R15.1,4924,R1324,71.2,166.12084930661322,222,R4.9,40.5,L5.6,,0.3,None
5 Iron,1,120.3,L1.7,19.5,4700,R5,4682,R409,104.5,181.22982853993594,256.3,R2.1,46.6,L2.9,,0.4,None
5 Iron,2,120.3,L6.9,20.5,4350,L1.6,4348,L118,109.8,180.06450486681777,262.3,L24.3,47.2,L7,,2.4,None
5 Iron,3,118.9,L8.4,18.8,3549,L7.5,3519,L463,94.8,174.57084936822784,267.8,L37.4,43.2,L7.5,,1.6,None
5 Iron,4,117.5,L7.9,16.4,4149,L10.9,4074,L787,79.8,174.8169776037026,250.2,L38.4,40.7,L3.6,,1.3,None
5 Iron,5,120,L4.7,19.6,3524,L23.7,3226,L1419,94.5,176.65166838007417,269.1,L46.7,43.5,R1.1,,5.8,None
5 Iron,6,114.3,L6.2,18.7,3674,L7.8,3640,L499,86.1,166.7734187587694,252.7,L28.8,42,L3.6,,2.8,None
5 Iron,7,113.3,L2.6,20.9,4674,R0.6,4674,R50,98.2,168.3717481419751,240.9,L6.8,46.3,L2.7,,2.3,None
5 Iron,8,113.4,L3,17.9,4175,0,4175,0,82.3,167.74272048047592,242.7,L8.7,41.9,L1.5,,0.3,None
5 Iron,9,121.6,L7.3,18.6,3774,L9.4,3724,L614,99.1,180.72612458341428,270.6,L37.7,44.2,L5.4,,2.2,None
5 Iron,10,121,L2.8,19.1,3524,L10.3,3467,L633,99.2,178.32939774745725,273.9,L24.5,43.9,L0.4,,2.9,None
5 Iron,11,117.1,L4.8,19.7,3499,L22.5,3233,L1339,90.4,171.24316259115474,262.1,L43.4,42.8,L0.8,,5.3,None
5 Iron,12,118.5,R2.6,22.2,4675,R7.2,4638,R586,114.6,175.99938500304864,255.2,R18.7,48.8,R1.4,,4.3,None
5 Iron,13,113.4,R5.1,21.8,4425,R0.9,4424,R72,102.4,167.57671659436042,245.2,R16.2,46.9,R5,,5.6,None
5 Iron,14,108.9,L0.9,21.5,3749,L9.7,3696,L631,89.9,157.46659971002967,241,L13.8,44.1,L0.5,,6.5,None
5 Iron,15,110.2,L2,12.7,3774,R9.7,3720,R637,49.2,153.02456219617017,228,R4.2,31.2,L0.5,,3,None
5 Iron,16,109.4,0,17.7,5474,R12.2,5350,R1159,75.2,163.46077897075443,218.1,R14.5,42.1,L1.9,,0.3,None
5 Iron,17,121.7,L3.8,19.3,4949,L2.8,4943,L244,107.1,183.89264314316398,256.7,L16.4,47.2,L1.8,,2.5,None
5 Iron,18,109.9,R9.7,22.2,3974,L5.6,3955,L389,96.3,160.0580654864583,242.1,R20.7,45.7,R10.6,,8.5,None
5 Iron,19,121.1,L2.1,17.2,4275,L20.1,4015,L1467,87.3,182.15449908413416,257.4,L34.5,42.6,R3.7,,2.1,None
5 Iron,20,109.7,R2.9,20.9,5574,R9.7,5494,R941,91.6,162.13526962269108,223,R19.8,46.3,R1,,2.4,None
5 Iron,21,118.9,L8.9,18.6,3899,L15.6,3755,L1050,91.9,176.54301262279702,260.7,L49.1,43.3,L5.9,,2.3,None
5 Iron,22,104.8,R1.7,21.7,4550,R10.9,4467,R863,84.1,152.41446885573035,220.7,R16.3,44.4,L2.7,,1.3,None
5 Iron,23,111.8,L1.9,21.5,5650,R13.5,5494,R1318,97.3,165.20080463999136,227.7,R12.1,47.4,L4.7,,2.7,None
5 Iron,24,107.5,L4.8,13.2,3699,R6.3,3677,R404,48.7,147.33362348094636,223.4,L6.7,31.2,L2.2,,1.8,None
5 Iron,25,113.3,L8.3,16.5,2824,L35.3,2305,L1632,58,154.39130438200945,253.9,L54.8,32.8,L3.3,,3.7,None