Dates,03-06-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
7 Iron,0,98.2,L5.4,21.9,3432,L10.4,3375,L620,24.0,140.2,149.3,L20.8,40.7,L1.6,L6.3,2.1,28.6
7 Iron,1,94.5,L6.9,21.7,4026,L11.7,3942,L817,22.0,131.2,139.5,L23.7,40.2,L1.5,L8.3,1.4,28.4
7 Iron,2,91.2,L4.5,0.3,1755,R12.0,1717,R365,0.0,0.7,111.8,L0.0,0.3,L3.7,L3.9,-1.4,1.3
7 Iron,3,98.7,L7.5,20.1,5046,L2.4,5041,L215,23.3,137.4,143.6,L18.5,41.5,L5.6,L7.9,-1.9,27.3
7 Iron,4,99.3,L6.4,14.4,4734,R1.1,4733,R89,15.6,133.6,145.8,L12.7,32.6,L6.6,L6.3,-1.0,19.6
7 Iron,5,99.1,L7.1,15.3,5134,R5.7,5109,R514,16.9,133.7,143.5,L10.3,34.8,L8.3,L6.8,-2.0,21.0
7 Iron,6,101.4,L4.5,23.7,4779,L5.3,4758,L437,29.7,142.4,146.4,L15.6,47.5,L1.9,L5.2,0.9,31.3
7 Iron,7,100.4,L3.8,19.6,6035,R7.4,5984,R781,23.6,136.0,140.3,L1.1,43.2,L7.5,L2.9,-2.9,26.9
7 Iron,8,74.5,L7.4,-0.2,1106,R17.0,-1057,R323,0.0,0.5,94.2,L0.1,0.2,L2.2,L8.0,-3.7,1.2
7 Iron,9,105.2,L7.8,19.0,4407,L9.8,4342,L750,24.8,151.3,159.0,L28.7,41.0,L4.2,L8.7,-1.3,25.8
7 Iron,10,97.4,L4.7,19.0,5547,R4.0,5533,R388,21.2,132.4,138.5,L6.3,40.1,L6.3,L4.2,-2.4,25.9
7 Iron,11,103.9,L9.7,20.6,4714,L12.6,4601,L1025,26.3,148.1,154.4,L35.5,42.9,L3.5,L11.2,-0.1,27.4
7 Iron,12,97.3,L7.3,12.4,4995,R13.8,4851,R1189,11.9,123.1,137.4,L5.0,28.1,L8.9,L6.9,-3.7,17.6
7 Iron,13,97.1,L1.5,20.9,5385,R13.2,5243,R1229,23.1,132.2,137.5,R8.6,42.6,L8.1,R0.2,-4.3,29.0
7 Iron,14,102.2,L7.2,18.6,4403,L8.2,4359,L626,22.5,144.8,153.4,L24.4,39.3,L3.2,L8.3,-4.1,25.9
7 Iron,15,96.4,L3.1,22.7,4850,R0.4,4850,R30,25.2,133.3,138.1,L6.3,44.8,L3.2,L3.1,-0.3,30.2
7 Iron,16,107.6,L7.4,20.5,5062,L7.6,5017,L669,29.1,154.6,159.5,L27.1,44.9,L3.9,L8.3,-0.1,27.4
7 Iron,17,94.4,L3.5,21.6,6358,R5.8,6325,R639,22.6,123.8,127.3,L1.9,43.8,L4.7,L3.1,-2.1,29.2
7 Iron,18,101.4,L4.9,21.2,4690,L10.7,4609,L867,25.8,143.8,149.8,L21.8,43.0,R0.3,L6.3,0.9,27.9
7 Iron,19,96.1,L11.5,3.3,2531,L39.5,1952,L1612,0.8,46.8,102.1,L11.0,4.1,L0.2,L14.3,1.0,4.5
7 Iron,20,92.8,L3.8,20.8,3837,L13.3,3734,L884,19.8,127.1,137.0,L17.2,38.1,R1.0,L4.9,1.1,27.4
7 Iron,21,104.0,L6.1,20.3,5166,L0.0,5166,L2,26.9,147.7,152.8,L14.4,43.9,L6.1,L6.1,-2.3,27.7
7 Iron,22,96.8,L7.5,13.8,4266,R0.5,4266,R39,13.5,127.0,141.5,L14.7,29.8,L7.1,L7.0,-1.1,18.9
7 Iron,23,94.2,L7.2,20.1,4144,L11.6,4059,L835,19.9,129.0,138.5,L23.4,38.0,R0.5,L9.1,2.1,26.2
7 Iron,24,99.8,L5.1,14.8,5035,R6.7,5000,R589,16.6,134.7,145.3,L5.4,34.0,L5.8,L5.0,-2.0,20.4
7 Iron,25,102.8,L5.9,20.1,5150,L7.9,5101,L711,25.6,145.0,150.5,L21.8,43.0,L1.7,L7.0,-1.1,27.0
7 Iron,26,102.9,L5.4,21.3,5250,L14.4,5085,L1307,26.9,143.7,148.2,L27.1,45.0,R1.2,L6.6,0.1,28.4
7 Iron,27,97.6,L8.3,15.4,4522,L11.8,4426,L926,15.7,130.3,142.4,L26.0,32.7,L1.1,L10.1,-0.7,20.7
7 Iron,28,105.7,L6.9,1.8,1947,L44.6,1385,L1368,0.7,30.7,99.0,L4.3,2.1,R3.8,L9.6,1.3,2.5
7 Iron,29,99.5,L13.1,6.3,2834,L46.4,1953,L2054,2.6,76.0,120.7,L23.7,9.5,R4.1,L17.4,1.1,8.5
7 Iron,30,96.5,L3.4,18.0,4525,L13.0,4409,L1017,18.5,131.4,141.4,L17.4,36.4,R2.1,L4.8,0.5,23.9
7 Iron,31,98.3,L3.7,21.1,4908,R0.9,4908,R73,24.3,137.5,143.4,L7.2,42.5,L3.4,L3.4,-0.7,28.3
7 Iron,32,82.9,L6.8,18.7,3149,L30.0,2727,L1575,11.5,98.5,115.6,L22.1,29.2,R3.6,L9.5,1.7,24.3
7 Iron,33,99.1,L8.4,19.7,3883,L22.0,3602,L1451,20.9,137.5,147.7,L35.8,38.1,R1.9,L10.9,0.5,26.2
7 Iron,34,101.0,L7.7,11.5,4484,R1.0,4483,R80,12.3,131.5,147.7,L15.3,27.5,L5.5,L7.5,-2.7,16.2
7 Iron,35,104.2,L10.5,18.1,4525,L15.2,4368,L1183,22.5,147.5,156.0,L39.1,39.3,L3.2,L12.4,-3.5,25.1
7 Iron,36,96.7,L6.7,14.7,4830,L7.9,4784,L664,14.8,127.7,140.0,L19.4,32.1,L2.9,L7.1,-1.4,20.0
7 Iron,37,96.9,L9.7,19.8,3567,L27.3,3168,L1638,19.1,131.5,143.0,L39.2,36.4,R0.3,L12.2,0.6,26.2
7 Iron,38,96.2,L2.3,16.9,4872,R5.4,4850,R456,17.5,129.8,139.5,L0.5,35.7,L2.5,L2.1,-0.7,22.8
7 Iron,39,104.6,L10.1,18.7,4377,L14.7,4234,L1109,23.6,148.9,157.3,L38.2,40.0,L3.0,L11.9,-0.4,25.1
7 Iron,40,93.6,L3.7,19.9,5367,R4.5,5350,R423,20.2,125.7,132.2,L3.7,39.7,L4.9,L3.3,-2.0,27.0
7 Iron,41,96.9,L5.6,19.4,4837,L7.8,4792,L654,21.1,133.7,141.1,L18.5,39.5,R0.5,L7.1,-0.2,25.9
7 Iron,42,87.0,L4.7,20.3,3323,L31.4,2835,L1734,14.7,109.5,123.6,L23.3,33.1,R4.4,L6.9,2.2,26.4
7 Iron,43,104.5,L5.9,18.0,5688,L12.2,5560,L1202,23.6,144.7,150.5,L26.1,41.4,R0.2,L7.4,0.2,24.1
7 Iron,44,105.8,L6.3,20.7,5542,L12.2,5418,L1168,28.2,148.1,152.0,L28.4,45.9,L0.7,L7.8,0.0,27.6
7 Iron,45,106.8,L11.2,15.7,4931,L19.4,4652,L1636,20.2,148.4,157.8,L44.9,37.0,L2.7,L13.3,1.2,20.8
7 Iron,46,106.7,L8.0,20.6,3363,L27.4,2985,L1549,25.0,153.6,163.6,L44.8,40.2,R2.1,L10.6,1.2,27.2
7 Iron,47,102.4,L4.3,21.8,5114,R8.4,5059,R748,27.7,143.8,147.9,L1.0,45.9,L6.3,L3.8,-1.5,29.4
7 Iron,48,100.1,L6.9,13.1,4586,L5.3,4567,L421,14.1,133.1,146.6,L18.6,30.4,L3.5,L7.7,-1.4,18.0
7 Iron,49,99.5,L6.2,17.1,4593,L15.9,4418,L1257,18.7,136.5,146.5,L26.6,36.3,R1.0,L7.9,-0.8,23.1
7 Iron,50,105.3,L7.3,18.5,4368,L15.1,4218,L1135,23.6,150.5,158.7,L32.5,40.0,L0.8,L8.9,-1.9,25.3
7 Iron,51,102.2,L11.3,16.1,4401,L22.1,4077,L1657,17.9,139.2,151.1,L42.8,34.6,L0.9,L13.9,-1.3,22.0
7 Iron,52,95.9,L8.9,10.9,3957,L17.0,3785,L1156,9.0,114.3,135.9,L25.1,22.8,L1.7,L10.0,0.0,14.8
7 Iron,53,98.2,L5.5,22.0,4196,L18.6,3976,L1339,24.1,137.6,145.2,L28.1,41.7,R2.3,L7.5,1.2,28.9
7 Iron,54,90.1,L5.8,19.1,3876,L32.9,3252,L2108,14.8,113.7,127.2,L28.1,32.8,R7.4,L9.1,2.1,24.8
7 Iron,55,97.4,L2.4,16.4,5475,R0.7,5475,R71,17.8,130.3,138.7,L4.4,36.3,L2.5,L2.2,-2.3,22.5
7 Iron,56,97.2,L4.4,19.4,4758,L14.7,4601,L1210,20.7,133.4,141.5,L21.7,39.0,R2.1,L6.1,1.8,25.3
7 Iron,57,102.3,L9.3,18.0,4400,L22.4,4069,L1675,20.5,141.6,151.6,L40.1,37.5,L0.4,L11.5,0.1,24.1
7 Iron,58,96.3,L6.6,20.9,3733,L18.0,3551,L1151,21.3,133.8,143.6,L28.0,38.9,R1.8,L8.2,1.6,27.3
7 Iron,59,102.1,L4.1,21.2,4148,L10.1,4084,L724,26.0,146.5,153.8,L19.5,42.3,R0.2,L5.2,-0.1,28.3
7 Iron,60,103.0,L8.0,19.7,5765,L9.1,5692,L913,25.3,142.1,146.5,L27.4,43.8,L2.6,L9.4,-0.3,26.3
7 Iron,61,97.4,L6.3,21.4,4095,L23.0,3768,L1602,22.2,134.5,143.3,L31.9,40.0,R4.3,L9.0,2.0,27.9
7 Iron,62,105.2,L1.9,10.6,4441,R13.1,4326,R1004,12.1,137.1,154.4,R6.1,26.8,L4.9,L1.2,-0.9,14.6
7 Iron,63,97.4,L2.0,21.8,5677,R4.6,5659,R454,24.8,132.2,135.9,R0.1,44.9,L4.3,L1.4,-1.5,29.3
7 Iron,64,108.2,L8.3,16.1,5310,L21.9,4927,L1978,21.5,149.8,157.9,L41.9,38.6,R1.7,L10.1,-2.6,22.3
7 Iron,65,95.9,L6.8,18.7,4943,L19.8,4652,L1672,18.8,128.4,137.2,L29.0,37.4,R2.2,L9.1,-0.4,25.0
7 Iron,66,105.6,L9.5,18.9,4907,L26.0,4411,L2150,23.4,146.8,154.5,L47.0,40.5,R2.0,L12.4,0.2,25.2
7 Iron,67,87.4,L5.7,21.9,3358,L16.2,3226,L934,17.8,116.2,127.6,L19.9,36.8,R6.5,L8.8,2.3,28.4
7 Iron,68,100.3,L5.9,17.3,5285,L8.6,5226,L787,20.2,137.7,145.2,L20.7,38.5,L2.0,L6.9,-1.1,23.3
7 Iron,69,100.7,L3.7,19.8,6185,L1.3,6183,L135,24.2,136.2,140.0,L9.2,43.8,L3.0,L3.8,-0.9,26.6
7 Iron,70,107.2,L6.7,19.7,4252,L15.7,4093,L1152,26.3,155.0,162.4,L33.2,41.9,R0.8,L8.6,-0.4,26.5
7 Iron,71,101.0,L7.7,17.4,5007,L15.1,4835,L1302,20.1,138.9,147.3,L30.3,38.0,L1.5,L9.2,0.2,23.2
7 Iron,72,81.5,L7.1,21.1,3455,L11.6,3384,L697,14.4,103.2,115.6,L17.0,33.8,R1.7,L9.3,-0.4,27.9
7 Iron,73,100.2,L7.0,17.2,4957,L4.6,4942,L395,20.1,138.6,147.1,L19.5,37.9,L2.8,L8.0,-1.7,23.5
7 Iron,74,101.7,L6.1,20.0,5192,L12.1,5076,L1092,24.5,142.1,147.9,L25.6,42.3,R0.3,L7.7,1.1,26.3
7 Iron,75,101.1,L11.1,12.4,3766,L18.6,3568,L1204,12.2,130.2,148.7,L35.1,27.1,L3.1,L13.0,1.5,16.4
7 Iron,76,98.2,L0.5,14.7,4343,L26.3,3894,L1922,13.7,126.2,140.9,L18.7,30.1,R9.2,L2.9,2.1,19.2
7 Iron,77,105.9,L6.0,22.0,4686,L17.9,4460,L1438,29.1,151.4,156.7,L33.7,44.9,R2.1,L8.0,2.0,28.8
7 Iron,78,97.0,L6.9,21.4,4280,L22.0,3968,L1603,22.3,133.7,142.1,L32.4,40.3,R3.8,L9.6,2.3,27.8
7 Iron,79,108.2,L7.8,19.9,5172,L14.4,5010,L1287,28.2,154.3,159.3,L35.6,44.3,L1.9,L9.3,-0.3,26.7
7 Iron,80,99.5,L4.9,18.0,5416,R3.1,5408,R289,21.1,136.4,143.3,L7.9,39.5,L5.6,L4.7,-1.5,24.5
7 Iron,81,101.0,L6.3,18.9,5646,R2.3,5642,R222,23.2,139.3,144.8,L11.7,41.5,L6.6,L6.2,-2.0,25.8
7 Iron,82,103.5,L6.1,21.6,5057,L11.3,4959,L988,27.9,145.8,150.4,L26.0,45.5,L0.5,L7.0,-0.3,28.9
7 Iron,83,99.6,L6.6,21.0,3965,L18.1,3768,L1233,23.3,140.3,148.9,L30.4,40.4,R2.3,L8.8,2.2,27.4
7 Iron,84,101.5,L4.9,20.0,5466,L5.4,5442,L516,24.9,140.9,145.7,L16.5,43.5,L1.4,L5.8,1.0,26.4
7 Iron,85,104.4,L9.5,21.4,4020,L33.1,3369,L2193,24.4,145.6,152.3,L50.7,41.0,R3.0,L12.6,2.2,27.9
7 Iron,86,110.3,L9.6,19.3,4702,L22.8,4335,L1819,27.0,158.0,164.7,L49.0,42.6,R0.2,L12.0,0.1,25.8
7 Iron,87,100.6,L5.4,18.2,5445,R3.7,5433,R354,21.9,138.9,145.2,L8.3,40.3,L7.0,L5.0,-1.3,24.7
7 Iron,88,108.6,L5.8,19.7,4986,L3.8,4975,L330,28.7,157.0,162.1,L18.9,44.3,L3.6,L6.3,-2.3,27.0
7 Iron,89,102.3,L2.6,20.5,5972,R3.9,5958,R405,26.2,140.1,143.2,L1.9,45.2,L4.4,L2.2,-2.5,28.0
7 Iron,90,100.1,L8.3,18.1,5458,R0.2,5458,R21,21.5,137.8,144.3,L17.9,39.9,L7.7,L7.9,-3.7,25.1
7 Iron,91,104.1,L2.9,21.0,5407,L2.8,5400,L268,28.0,145.9,149.9,L9.8,45.9,R0.9,L3.8,0.4,27.9
7 Iron,92,111.7,L9.9,20.4,4766,L11.6,4668,L961,31.1,163.0,168.0,L39.9,45.4,L0.7,L12.2,-0.2,27.4
7 Iron,93,104.4,L6.2,13.4,4619,L8.6,4567,L687,16.3,142.8,155.6,L21.6,32.5,L2.5,L7.1,-1.4,18.4
7 Iron,94,109.5,L5.1,21.7,5306,L12.3,5184,L1130,32.1,155.3,158.2,L27.6,48.1,L0.0,L6.4,-0.4,29.1
7 Iron,95,106.0,L9.2,18.5,3863,L28.3,3402,L1828,21.7,148.2,159.3,L46.4,37.6,R2.6,L12.1,0.5,24.6
7 Iron,96,95.9,L1.9,17.7,4125,L0.6,4125,L45,18.0,131.4,142.4,L4.5,35.6,R3.2,L3.2,1.5,23.2
7 Iron,97,92.0,L4.5,19.7,3360,L39.0,2611,L2115,15.2,116.0,131.0,L28.6,32.8,R9.8,L8.1,2.4,25.5
7 Iron,98,103.2,L1.5,18.7,5124,L9.1,5059,L812,23.8,145.1,151.6,L12.6,41.3,R2.7,L2.5,2.0,24.5
7 Iron,99,106.1,L3.0,16.8,5099,L6.4,5067,L569,22.8,150.1,157.5,L13.9,39.7,R1.3,L4.1,1.0,22.3
,Average,99.9,L6.3,17.9,4578,L10.6,4398,L731,20.5,132.3,144.2,L21.3,37.2,L1.2,L7.5,-0.3,24.0
,Deviation,2.7,2.5,4.5,904,12.9,1097,831.0,6.0,24.4,12.1,13.3,9.3,3.8,3.3,1.7,5.9
