Dates,03-04-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
7 Iron,0,98.9,L3.6,21.8,3827,L12.1,3742,L799,24.4,140.4,148.6,L18.8,41.3,R2.0,L4.7,-1.8,29.4
7 Iron,1,94.1,R0.0,19.0,4650,R0.6,4650,R48,19.0,128.0,136.9,R0.5,37.6,L0.1,R0.1,-5.5,26.7
7 Iron,2,100.7,L5.2,19.0,5216,L0.3,5216,L29,23.0,140.2,146.6,L12.0,41.0,L3.0,L5.8,-5.0,26.6
7 Iron,3,93.1,L3.8,14.5,3637,R10.5,3576,R664,12.2,118.1,135.4,L1.0,28.1,L2.1,L3.5,-2.0,19.9
7 Iron,4,89.0,L2.1,0.3,1250,R2.2,-1249,R47,0.0,0.7,109.7,L0.0,0.3,L3.0,L1.9,-2.0,1.4
7 Iron,5,96.3,L3.2,19.5,5193,R1.5,5191,R139,21.2,131.8,138.4,L5.4,40.2,L3.2,L3.2,-2.6,26.7
7 Iron,6,86.7,L5.4,20.7,3115,L16.1,2992,L864,16.0,113.5,126.4,L18.4,34.5,R3.2,L7.6,0.3,27.4
7 Iron,7,100.8,L6.1,18.7,6016,L5.1,5992,L538,22.7,136.8,141.7,L18.3,41.7,L3.4,L6.8,-3.4,25.8
7 Iron,8,101.4,L6.5,19.8,5225,L0.3,5225,L28,24.5,142.0,147.7,L15.0,42.3,L5.3,L6.8,-3.8,27.3
7 Iron,9,99.6,L6.5,22.1,4162,L2.4,4158,L171,26.0,142.3,149.1,L16.9,42.8,L4.6,L7.0,-2.4,30.0
7 Iron,10,100.6,L2.3,21.0,4192,L1.3,4191,L98,25.0,143.9,151.2,L6.5,41.8,L1.4,L2.5,-3.6,28.8
7 Iron,11,99.7,L8.4,17.1,3493,L21.1,3260,L1255,17.4,136.1,149.6,L33.6,33.8,R1.5,L10.1,-3.2,23.6
7 Iron,12,101.8,L7.1,18.7,4152,L9.0,4100,L652,22.3,144.6,153.7,L24.7,39.0,L0.9,L8.6,-4.4,26.2
7 Iron,13,95.8,L3.8,19.7,4912,R5.1,4892,R440,20.9,131.5,138.7,L3.6,39.7,L3.7,L3.2,-3.8,27.2
7 Iron,14,99.7,L9.9,14.5,4773,L4.5,4758,L372,16.0,134.6,146.3,L24.7,33.1,L2.4,L11.7,-4.1,20.6
7 Iron,15,102.4,L3.5,21.5,4740,R5.6,4717,R465,27.2,146.0,151.6,L2.3,43.9,L6.4,L2.5,-4.2,29.7
7 Iron,16,102.9,L4.5,17.7,5925,L0.1,5925,L11,22.7,141.4,146.8,L10.3,40.9,L3.5,L4.8,-3.7,24.7
7 Iron,17,89.7,R5.9,0.4,3440,R72.1,1054,R3274,0.0,0.7,110.3,R0.1,0.4,L1.7,R7.8,-2.6,1.7
7 Iron,18,87.6,R11.8,15.5,6219,R47.6,4190,R4596,9.1,91.6,107.4,R34.2,26.3,L1.2,R15.0,-4.4,21.7
7 Iron,19,102.1,L1.8,23.2,5339,R4.1,5325,R381,29.7,141.8,145.1,R0.3,47.9,L2.5,L1.6,-2.3,31.4
7 Iron,20,92.8,L4.0,17.1,5151,R9.8,5076,R874,16.1,121.6,131.1,L0.8,35.0,L5.2,L3.7,-3.7,23.7
7 Iron,21,103.9,L0.1,23.6,6344,R9.8,6251,R1080,31.2,140.2,142.0,R10.8,49.2,L1.4,R0.3,-3.5,32.3
7 Iron,22,104.8,L2.2,25.1,5724,R3.0,5717,R298,34.5,143.9,145.7,L1.7,50.9,L3.6,L1.9,-1.4,33.8
7 Iron,23,86.2,L6.0,16.2,1936,L11.1,1900,L373,10.2,103.5,126.9,L13.8,25.4,L0.9,L7.3,-1.6,21.9
7 Iron,24,93.1,L3.7,21.3,3551,R1.5,3550,R90,20.6,128.8,139.0,L6.6,38.5,L3.5,L3.2,-2.0,28.8
7 Iron,25,102.4,L11.5,19.7,4404,L21.9,4085,L1646,22.9,143.4,151.8,L45.6,40.0,L0.2,L14.3,-1.6,26.7
7 Iron,26,101.1,L4.4,21.6,3992,L1.3,3991,L91,25.9,145.3,152.8,L11.5,42.3,L3.6,L4.6,-1.3,29.0
7 Iron,27,101.7,L4.9,19.6,5259,L1.4,5258,L124,24.5,142.6,148.2,L12.4,42.3,R0.3,L6.1,-2.4,26.8
7 Iron,28,98.1,L0.8,16.9,4591,R5.9,4567,R471,18.2,134.4,144.6,R3.1,35.8,L0.6,L0.1,-2.2,23.1
7 Iron,29,116.7,L6.0,20.4,5484,L7.1,5442,L677,35.4,167.6,170.4,L26.1,49.2,R1.1,L7.8,-1.5,27.7
7 Iron,30,106.5,L7.1,12.2,4972,L13.5,4835,L1162,15.4,143.6,156.1,L28.4,31.5,R2.0,L9.4,-4.7,17.7
7 Iron,31,102.2,L5.2,18.5,4402,L6.3,4375,L485,22.5,145.2,153.6,L18.1,39.4,L0.4,L6.4,-5.3,26.1
7 Iron,32,100.4,L3.8,21.5,4558,R0.1,4558,R7,25.9,142.9,149.0,L8.5,43.0,L3.9,L3.6,-2.3,29.2
7 Iron,33,94.3,L2.1,22.7,4270,L14.5,4134,L1067,23.2,130.6,137.8,L16.0,41.7,R7.5,L4.5,1.9,29.6
7 Iron,34,102.0,L3.8,24.1,3909,R1.2,3908,R81,30.0,147.7,153.7,L7.8,45.3,L3.0,L3.3,0.7,31.8
7 Iron,35,103.3,L4.9,20.8,4612,L14.8,4459,L1177,26.0,147.0,153.4,L26.4,42.7,R3.3,L7.0,-1.0,28.0
7 Iron,36,104.6,L2.3,20.7,4632,L7.5,4592,L607,27.2,150.3,156.4,L13.6,43.3,R1.6,L3.3,-2.2,28.1
7 Iron,37,100.1,L5.1,18.9,5098,R3.0,5092,R264,22.5,139.6,146.3,L8.5,40.6,L0.5,L5.5,-1.8,25.7
7 Iron,38,99.1,L7.1,9.0,3401,L9.9,3350,L584,7.5,115.0,141.5,L18.0,19.4,L1.9,L8.4,-0.9,12.5
7 Iron,39,99.7,L4.2,15.1,4878,L2.1,4875,L175,17.0,135.6,146.3,L10.8,34.4,L0.8,L5.0,-2.2,20.9
7 Iron,40,99.2,L3.6,19.6,5130,R6.1,5100,R547,22.9,137.6,144.1,L2.2,41.1,L1.6,L3.3,-1.6,26.6
7 Iron,41,111.5,L4.9,21.7,5531,L9.2,5459,L888,33.9,157.9,160.6,L24.2,49.2,L0.3,L6.0,-1.9,29.5
7 Iron,42,100.2,L0.3,22.6,5834,R0.9,5833,R88,27.7,136.7,139.6,R0.2,47.0,L1.4,L0.1,-1.8,30.5
7 Iron,43,83.6,L0.4,22.3,3333,R10.6,3275,R614,16.5,108.9,120.6,R4.8,36.1,L3.1,R0.2,-1.7,29.9
7 Iron,44,101.8,L1.7,19.1,6154,R2.1,6150,R223,23.8,138.3,142.4,L1.6,43.2,L1.9,L1.6,-2.5,26.1
7 Iron,45,103.0,L1.6,20.6,6141,R4.1,6125,R440,26.8,140.6,143.8,R0.9,45.8,L1.8,L1.3,-3.0,28.3
7 Iron,46,108.2,L7.1,11.1,4317,L3.6,4308,L273,14.4,147.0,162.4,L19.9,29.4,L1.8,L8.5,-2.7,15.8
7 Iron,47,102.5,L4.6,14.2,5303,R3.7,5292,R339,17.3,139.3,149.1,L6.9,34.7,L3.8,L4.0,-5.4,20.5
7 Iron,48,108.0,L6.9,21.4,4829,L14.8,4668,L1235,30.0,155.3,160.3,L34.1,45.3,R0.3,L8.7,0.0,28.6
7 Iron,49,92.9,L10.8,18.4,3741,L38.3,2936,L2318,14.4,116.2,131.2,L39.9,31.8,R4.3,L14.6,-0.1,24.5
7 Iron,50,94.9,L1.6,23.1,3781,R3.2,3775,R207,24.0,133.7,141.3,L0.8,41.9,L1.1,L1.0,0.4,30.4
7 Iron,51,79.1,L4.4,19.7,2281,L25.0,2068,L964,11.0,93.1,112.0,L14.3,28.7,R11.4,L8.3,0.9,25.7
7 Iron,52,88.5,L8.9,17.3,2873,L16.8,2751,L829,12.8,111.8,129.4,L23.8,29.5,L0.6,L10.9,-1.6,23.4
7 Iron,53,85.4,R10.5,7.2,5071,R58.0,2689,R4299,2.0,52.8,91.7,R14.6,9.7,L1.2,R13.4,-3.7,10.9
7 Iron,54,108.5,L1.8,20.7,5888,L2.4,5883,L242,30.6,151.7,154.6,L7.3,47.6,R0.3,L2.4,-2.5,28.3
7 Iron,55,102.9,L5.1,12.8,4855,R5.4,4834,R456,15.1,138.5,150.9,L6.7,31.4,L5.3,L5.1,-3.7,18.2
7 Iron,56,104.1,L6.1,20.2,4718,L5.0,4700,L410,26.3,149.2,155.3,L19.8,42.8,L3.8,L6.7,-2.0,27.4
7 Iron,57,102.7,L3.3,20.5,4230,L6.8,4200,L499,25.5,147.4,154.8,L14.5,41.8,L0.3,L4.0,-3.5,28.3
7 Iron,58,99.3,L8.0,15.5,4791,L7.5,4750,L624,17.0,134.6,145.6,L23.1,34.3,L2.8,L9.2,-3.0,21.5
7 Iron,59,110.2,L6.5,20.8,5283,L7.1,5242,L653,31.5,157.3,160.6,L25.0,47.4,L1.6,L7.7,-1.5,28.2
7 Iron,60,102.2,L3.9,13.6,4987,R12.1,4876,R1047,15.7,137.2,149.2,R1.7,32.5,L4.2,L3.9,-4.0,19.3
7 Iron,61,106.0,L3.3,22.3,4878,L7.8,4834,L659,30.7,151.1,155.0,L16.8,47.3,R0.2,L4.2,-0.4,29.8
7 Iron,62,97.6,R4.6,19.0,6271,R15.5,6044,R1673,20.7,128.9,134.3,R22.7,40.2,L1.4,R6.1,-6.1,26.9
7 Iron,63,77.4,L0.1,19.4,5445,R3.7,5433,R355,11.9,90.9,100.3,R1.5,32.5,L0.2,R0.2,-5.1,27.0
7 Iron,64,104.5,L1.2,19.4,6114,R12.9,5960,R1364,25.5,143.1,146.9,R10.9,44.2,L3.5,L0.7,-1.6,26.3
7 Iron,65,92.9,L0.6,21.0,5271,R5.1,5250,R465,21.0,124.8,130.4,R2.9,41.5,R1.1,L0.2,-1.5,28.2
7 Iron,66,98.9,L4.7,21.0,6026,R1.3,6025,R139,24.7,133.3,137.0,L8.8,44.6,L5.2,L4.2,-2.0,28.5
,Average,98.8,L3.6,18.4,4682,R0.0,4483,R43,21.0,130.3,142.3,L9.9,37.7,L1.3,L4.0,-2.5,25.2
,Deviation,3.3,4.0,4.7,1046,16.2,1289,1120.3,7.1,26.6,13.7,13.8,9.9,2.9,5.1,1.6,6.0
